member_id,checkin_timestamp
M001,2026-01-20T07:45
M001,2026-01-25T14:15
M001,2026-02-01T07:45
M001,2026-02-14T06:15
M001,2026-02-17T15:45
M001,2026-02-20T12:15
M001,2026-02-24T08:15
M001,2026-02-25T07:45
M001,2026-03-04T12:15
M001,2026-03-05T11:45
M001,2026-03-13T15:45
M001,2026-03-15T13:45
M001,2026-03-19T09:45
M001,2026-03-24T16:15
M001,2026-03-31T09:45
M001,2026-04-05T16:15
M001,2026-04-07T14:15
M001,2026-04-08T13:45
M001,2026-04-09T12:15
M001,2026-04-11T10:15
M001,2026-04-13T08:15
M002,2026-01-19T08:15
M002,2026-01-22T17:45
M002,2026-01-23T16:15
M002,2026-02-01T07:45
M002,2026-02-02T06:15
M002,2026-02-06T14:15
M002,2026-02-11T09:45
M002,2026-02-21T11:45
M002,2026-02-22T10:15
M002,2026-03-02T14:15
M002,2026-03-03T13:45
M002,2026-03-15T13:45
M002,2026-03-19T09:45
M002,2026-03-20T08:15
M002,2026-03-21T07:45
M002,2026-03-22T06:15
M002,2026-03-30T10:15
M002,2026-04-01T08:15
M002,2026-04-04T17:45
M002,2026-04-05T16:15
M002,2026-04-10T11:45
M003,2026-01-19T08:15
M003,2026-02-01T07:45
M003,2026-02-11T09:45
M003,2026-02-12T08:15
M003,2026-02-13T07:45
M003,2026-02-14T06:15
M003,2026-03-05T11:45
M003,2026-03-06T10:15
M003,2026-03-17T11:45
M003,2026-03-21T07:45
M003,2026-03-26T14:15
M003,2026-04-02T07:45
M003,2026-04-05T16:15
M004,2026-01-19T08:15
M004,2026-01-22T17:45
M004,2026-01-30T09:45
M004,2026-02-19T13:45
M004,2026-02-25T07:45
M004,2026-03-09T07:45
M004,2026-03-10T06:15
M004,2026-03-13T15:45
M004,2026-03-16T12:15
M004,2026-03-20T08:15
M004,2026-03-27T13:45
M004,2026-04-09T12:15
M004,2026-04-13T08:15
M005,2026-01-20T07:45
M005,2026-01-31T08:15
M005,2026-02-05T15:45
M005,2026-02-06T14:15
M005,2026-02-19T13:45
M005,2026-02-24T08:15
M005,2026-03-02T14:15
M005,2026-03-09T07:45
M005,2026-03-15T13:45
M005,2026-03-26T14:15
M005,2026-03-28T12:15
M005,2026-04-07T14:15
M005,2026-04-11T10:15
M006,2026-01-17T10:15
M006,2026-01-19T08:15
M006,2026-01-31T08:15
M006,2026-02-13T07:45
M006,2026-02-16T16:15
M006,2026-02-22T10:15
M006,2026-02-27T17:45
M006,2026-03-03T13:45
M006,2026-03-14T14:15
M007,2026-02-06T14:15
M007,2026-03-06T10:15
M007,2026-03-08T08:15
M007,2026-03-11T17:45
M007,2026-03-13T15:45
M007,2026-03-16T12:15
M008,2025-12-16T06:15
M008,2025-12-17T17:45
M008,2026-01-06T09:45
M008,2026-01-20T07:45
M008,2026-02-03T17:45
M008,2026-02-10T10:15
M009,2025-12-21T13:45
M009,2025-12-30T16:15
M009,2026-01-08T07:45
M009,2026-01-13T14:15
M009,2026-01-24T15:45
M009,2026-03-28T12:15
M009,2026-04-04T17:45
M009,2026-04-11T10:15
