status_id,order_id,status_name,status_at
ST00001,SO0001,created,2026-01-07T09:15
ST00002,SO0001,diagnosis_started,2026-01-07T13:15
ST00003,SO0001,quote_sent,2026-01-07T20:15
ST00004,SO0001,approved,2026-01-08T05:15
ST00005,SO0001,in_repair,2026-01-08T12:15
ST00006,SO0001,quality_check,2026-01-08T13:15
ST00007,SO0001,ready_for_pickup,2026-01-08T17:15
ST00008,SO0001,delivered,2026-01-09T00:15
ST00009,SO0002,created,2026-01-09T10:45
ST00010,SO0002,diagnosis_started,2026-01-09T15:45
ST00011,SO0002,quote_sent,2026-01-09T23:45
ST00012,SO0002,approved,2026-01-10T09:45
ST00013,SO0002,in_repair,2026-01-10T17:45
ST00014,SO0002,quality_check,2026-01-10T17:45
ST00015,SO0002,ready_for_pickup,2026-01-10T21:45
ST00016,SO0002,delivered,2026-01-11T05:45
ST00017,SO0003,created,2026-01-11T11:15
ST00018,SO0003,diagnosis_started,2026-01-11T17:15
ST00019,SO0003,quote_sent,2026-01-12T02:15
ST00020,SO0003,approved,2026-01-12T13:15
ST00021,SO0003,quality_check,2026-01-12T21:15
ST00022,SO0003,in_repair,2026-01-12T22:15
ST00023,SO0003,ready_for_pickup,2026-01-13T01:15
ST00024,SO0003,delivered,2026-01-13T10:15
ST00025,SO0004,created,2026-01-13T12:45
ST00026,SO0004,diagnosis_started,2026-01-13T17:45
ST00027,SO0004,quote_sent,2026-01-14T03:45
ST00028,SO0004,approved,2026-01-14T15:45
ST00029,SO0004,in_repair,2026-01-15T01:45
ST00030,SO0004,quality_check,2026-01-15T03:45
ST00031,SO0004,ready_for_pickup,2026-01-15T07:45
ST00032,SO0004,delivered,2026-01-15T13:45
ST00033,SO0005,created,2026-01-15T13:15
ST00034,SO0005,diagnosis_started,2026-01-16T02:15
ST00035,SO0005,quote_sent,2026-01-16T13:15
ST00036,SO0005,approved,2026-01-17T02:15
ST00037,SO0005,in_repair,2026-01-17T08:15
ST00038,SO0005,quality_check,2026-01-17T14:15
ST00039,SO0005,ready_for_pickup,2026-01-17T18:15
ST00040,SO0005,delivered,2026-01-18T01:15
ST00041,SO0006,created,2026-01-11T14:45
ST00042,SO0006,diagnosis_started,2026-01-11T15:45
ST00043,SO0006,quote_sent,2026-01-12T03:45
ST00044,SO0006,approved,2026-01-12T17:45
ST00045,SO0006,in_repair,2026-01-13T00:45
ST00046,SO0006,quality_check,2026-01-13T05:45
